# jisx0213-2004-8bit-std.txt 内 "Fullwidth: " と記述のある変換は省略
# ただし、こちらのファイルの方が優先される
#全角	半角

￥	¥
￠	¢
￡	£
－	-
￢	¬
　	 
。	｡
「	｢
」	｣
、	､
・	･
ヲ	ｦ
ァ	ｧ
ィ	ｨ
ゥ	ｩ
ェ	ｪ
ォ	ｫ
ャ	ｬ
ュ	ｭ
ョ	ｮ
ッ	ｯ
ー	ｰ
ア	ｱ
イ	ｲ
ウ	ｳ
エ	ｴ
オ	ｵ
カ	ｶ
キ	ｷ
ク	ｸ
ケ	ｹ
コ	ｺ
サ	ｻ
シ	ｼ
ス	ｽ
セ	ｾ
ソ	ｿ
タ	ﾀ
チ	ﾁ
ツ	ﾂ
テ	ﾃ
ト	ﾄ
ナ	ﾅ
ニ	ﾆ
ヌ	ﾇ
ネ	ﾈ
ノ	ﾉ
ハ	ﾊ
ヒ	ﾋ
フ	ﾌ
ヘ	ﾍ
ホ	ﾎ
マ	ﾏ
ミ	ﾐ
ム	ﾑ
メ	ﾒ
モ	ﾓ
ヤ	ﾔ
ユ	ﾕ
ヨ	ﾖ
ラ	ﾗ
リ	ﾘ
ル	ﾙ
レ	ﾚ
ロ	ﾛ
ワ	ﾜ
ン	ﾝ
゛	ﾞ
゜	ﾟ
ヴ	ｳﾞ
ガ	ｶﾞ
ギ	ｷﾞ
グ	ｸﾞ
ゲ	ｹﾞ
ゴ	ｺﾞ
ザ	ｻﾞ
ジ	ｼﾞ
ズ	ｽﾞ
ゼ	ｾﾞ
ゾ	ｿﾞ
ダ	ﾀﾞ
ヂ	ﾁﾞ
ヅ	ﾂﾞ
デ	ﾃﾞ
ド	ﾄﾞ
バ	ﾊﾞ
ビ	ﾋﾞ
ブ	ﾌﾞ
ベ	ﾍﾞ
ボ	ﾎﾞ
ヷ	ﾜﾞ
ヺ	ｦﾞ
カ゚	ｶﾟ
キ゚	ｷﾟ
ク゚	ｸﾟ
ケ゚	ｹﾟ
コ゚	ｺﾟ
セ゚	ｾﾟ
ツ゚	ﾂﾟ
ト゚	ﾄﾟ
パ	ﾊﾟ
ピ	ﾋﾟ
プ	ﾌﾟ
ペ	ﾍﾟ
ポ	ﾎﾟ
